,date,confirmed_cases_global,dead_cases_global,recovered_cases_global,confirmed_cases_China,dead_cases_China,recovered_cases_China
0,1/22/20,555,17,28,548,17,28
1,1/23/20,654,18,30,643,18,30
2,1/24/20,941,26,36,920,26,36
3,1/25/20,1434,42,39,1406,42,39
4,1/26/20,2118,56,52,2075,56,49
5,1/27/20,2927,82,61,2877,82,58
6,1/28/20,5578,131,107,5509,131,101
7,1/29/20,6166,133,126,6087,133,120
8,1/30/20,8234,171,143,8141,171,135
9,1/31/20,9927,213,222,9802,213,214
10,2/1/20,12038,259,284,11891,259,275
11,2/2/20,16787,362,472,16630,361,463
12,2/3/20,19881,426,623,19716,425,614
13,2/4/20,23892,492,852,23707,491,843
14,2/5/20,27635,564,1124,27440,563,1115
15,2/6/20,30794,634,1487,30587,633,1477
16,2/7/20,34391,719,2011,34110,718,1999
17,2/8/20,37120,806,2616,36814,805,2596
18,2/9/20,40150,906,3244,39829,905,3219
19,2/10/20,42762,1013,3946,42354,1012,3918
20,2/11/20,44802,1113,4683,44386,1112,4636
21,2/12/20,45221,1118,5150,44759,1117,5082
22,2/13/20,60368,1371,6295,59895,1369,6217
23,2/14/20,66885,1523,8058,66358,1521,7977
24,2/15/20,69030,1666,9395,68413,1663,9298
25,2/16/20,71224,1770,10865,70513,1766,10755
26,2/17/20,73258,1868,12583,72434,1864,12462
27,2/18/20,75136,2007,14352,74211,2003,14206
28,2/19/20,75639,2122,16121,74619,2116,15962
29,2/20/20,76197,2247,18177,75077,2238,18014
30,2/21/20,76819,2251,18890,75550,2238,18704
31,2/22/20,78572,2458,22886,77001,2443,22699
32,2/23/20,78958,2469,23394,77022,2445,23187
33,2/24/20,79561,2629,25227,77241,2595,25015
34,2/25/20,80406,2708,27905,77754,2665,27676
35,2/26/20,81388,2770,30384,78166,2717,30084
36,2/27/20,82746,2814,33277,78600,2746,32930
37,2/28/20,84112,2872,36711,78928,2790,36329
38,2/29/20,86011,2941,39782,79356,2837,39320
39,3/1/20,88369,2996,42716,79932,2872,42162
40,3/2/20,90306,3085,45602,80136,2914,44854
41,3/3/20,92840,3160,48228,80261,2947,47450
42,3/4/20,95120,3254,51170,80386,2983,50001
43,3/5/20,97886,3348,53796,80537,3015,52292
44,3/6/20,101801,3460,55865,80690,3044,53944
45,3/7/20,105847,3558,58358,80770,3072,55539
46,3/8/20,109821,3802,60694,80823,3100,57388
47,3/9/20,113590,3988,62494,80860,3123,58804
48,3/10/20,118620,4262,64404,80887,3139,60181
49,3/11/20,125875,4615,67003,80921,3161,61644
50,3/12/20,128352,4720,68324,80932,3172,62901
51,3/13/20,145205,5404,70251,80945,3180,64196
52,3/14/20,156101,5819,72624,80977,3193,65660
53,3/15/20,167454,6440,76034,81003,3203,67017
54,3/16/20,181574,7126,78088,81033,3217,67910
55,3/17/20,197102,7905,80840,81058,3230,68798
56,3/18/20,214821,8733,83312,81102,3241,69755
57,3/19/20,242500,9867,84975,81156,3249,70535
58,3/20/20,272035,11299,87420,81250,3253,71266
59,3/21/20,304396,12973,91692,81305,3259,71857
60,3/22/20,336953,14651,97899,81435,3274,72362
61,3/23/20,378235,16505,98351,81498,3274,72814
62,3/24/20,418045,18625,108000,81591,3281,73280
63,3/25/20,467653,21181,113787,81661,3285,73773
64,3/26/20,529591,23970,122150,81782,3291,74181
65,3/27/20,593291,27198,130915,81897,3296,74720
66,3/28/20,660706,30652,139415,81999,3299,75100
67,3/29/20,720117,33925,149082,82122,3304,75582
68,3/30/20,782365,37582,164566,82198,3308,75923
69,3/31/20,857487,42107,178034,82279,3309,76206
70,4/1/20,932605,46809,193177,82361,3316,76405
71,4/2/20,1013157,52983,210263,82432,3322,76565
72,4/3/20,1095917,58787,225796,82511,3326,76760
